number,incident_state,active,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,reassignment_required
INC0000827,Active,True,0,0,True,Caller 4350,Opened by  386,1/3/2016 16:03,?,?,Updated by 908,1/3/2016 16:03,Phone,Location 93,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 24,2/3/2016 19:45,7/3/2016 20:00,0
INC0000828,New,True,0,0,True,Caller 4514,Opened by  444,1/3/2016 16:04,Created by 193,1/3/2016 16:12,Updated by 811,1/3/2016 16:12,Phone,?,?,?,?,?,1 - High,2 - Medium,2 - High,?,?,True,False,Do Not Notify,?,?,?,?,?,Resolved by 89,2/3/2016 09:47,7/3/2016 10:00,0
INC0000829,New,True,0,0,True,Caller 747,Opened by  62,1/3/2016 16:04,Created by 33,1/3/2016 16:20,Updated by 133,1/3/2016 16:20,Phone,Location 125,?,?,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 39,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 166,3/3/2016 10:39,8/3/2016 11:00,0
INC0000830,New,True,0,0,True,Caller 5075,?,1/3/2016 16:06,Created by 18,1/3/2016 16:10,Updated by 77,1/3/2016 16:10,Phone,Location 55,?,?,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 69,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 62,7/3/2016 15:27,24/3/2016 18:40,1
INC0000831,New,True,0,0,True,Caller 1086,Opened by  301,1/3/2016 16:09,Created by 129,1/3/2016 16:10,Updated by 573,1/3/2016 16:10,Phone,Location 143,Category 37,Subcategory 135,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 74,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 67,22/3/2016 15:19,27/3/2016 15:59,1
INC0000832,Active,True,0,0,True,Caller 3430,?,1/3/2016 16:10,Created by 89,1/3/2016 16:22,Updated by 370,1/3/2016 16:22,Phone,Location 143,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 171,9/3/2016 09:52,24/3/2016 18:40,0
INC0000833,New,True,0,0,True,Caller 5075,?,1/3/2016 16:11,Created by 18,1/3/2016 16:17,Updated by 77,1/3/2016 16:17,Phone,Location 55,Category 37,Subcategory 135,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:26,24/3/2016 18:40,1
INC0000834,New,True,0,0,True,Caller 3147,?,1/3/2016 16:18,?,?,Updated by 908,1/3/2016 16:18,Phone,Location 93,Category 42,Subcategory 224,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,4/3/2016 11:58,9/3/2016 12:00,1
INC0000835,New,True,0,0,True,Caller 1441,Opened by  55,1/3/2016 16:23,Created by 30,1/3/2016 16:30,Updated by 129,1/3/2016 16:30,Phone,Location 204,Category 26,Subcategory 164,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 113,23/3/2016 14:29,28/3/2016 14:59,1
INC0000837,New,True,0,0,True,Caller 4350,Opened by  386,1/3/2016 16:24,?,?,Updated by 908,1/3/2016 16:24,Phone,Location 93,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 103,2/3/2016 20:13,7/3/2016 21:00,0
INC0000838,New,True,0,0,True,Caller 2628,?,1/3/2016 16:27,Created by 18,1/3/2016 16:42,Updated by 77,1/3/2016 16:42,Phone,Location 93,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 171,3/3/2016 09:47,8/3/2016 10:00,1
INC0000839,New,True,0,0,True,Caller 3694,Opened by  55,1/3/2016 16:35,Created by 30,1/3/2016 16:45,Updated by 129,1/3/2016 16:45,Phone,Location 143,Category 24,Subcategory 164,Symptom 607,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 236,True,False,Do Not Notify,?,?,?,?,?,Resolved by 215,2/3/2016 10:53,7/3/2016 11:00,0
INC0000840,Active,True,0,0,True,Caller 4175,Opened by  381,1/3/2016 16:38,Created by 158,1/3/2016 16:51,Updated by 695,1/3/2016 16:51,Phone,Location 204,Category 45,Subcategory 88,Symptom 499,?,2 - Medium,2 - Medium,3 - Moderate,Group 31,Resolver 182,True,False,Do Not Notify,?,CHG0001019,?,?,code 6,Resolved by 165,13/5/2016 14:23,18/5/2016 15:07,0
INC0000841,New,True,0,0,True,Caller 2299,Opened by  239,1/3/2016 16:42,?,?,Updated by 908,1/3/2016 16:42,Phone,Location 204,Category 37,Subcategory 123,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 114,1/3/2016 17:13,6/3/2016 18:00,0
INC0000842,New,True,0,0,True,Caller 5247,?,1/3/2016 16:43,Created by 18,1/3/2016 16:55,Updated by 77,1/3/2016 16:55,Phone,Location 204,Category 45,Subcategory 29,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 113,17/3/2016 15:55,24/3/2016 18:59,1
INC0000845,New,True,0,0,True,Caller 3056,Opened by  124,1/3/2016 16:47,Created by 58,1/3/2016 16:52,Updated by 241,1/3/2016 16:52,Phone,Location 51,Category 26,Subcategory 164,?,?,3 - Low,2 - Medium,4 - Low,Group 69,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,4/3/2016 16:22,9/3/2016 17:00,1
INC0000846,New,True,0,0,True,Caller 1057,Opened by  55,1/3/2016 16:50,?,?,Updated by 908,1/3/2016 16:50,Phone,Location 161,Category 9,Subcategory 164,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 174,2/3/2016 02:29,7/3/2016 03:00,0
INC0000847,New,True,0,0,True,Caller 1385,Opened by  221,1/3/2016 16:50,Created by 98,1/3/2016 16:56,Updated by 429,1/3/2016 16:56,Phone,Location 96,Category 23,Subcategory 3,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 227,2/3/2016 10:18,7/3/2016 11:00,0
INC0000849,Active,True,0,0,True,Caller 4639,Opened by  381,1/3/2016 16:55,Created by 158,1/3/2016 16:58,Updated by 695,1/3/2016 16:58,Phone,Location 96,Category 45,Subcategory 88,Symptom 330,?,2 - Medium,2 - Medium,3 - Moderate,Group 31,Resolver 182,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 165,30/3/2016 16:38,4/4/2016 16:59,0
INC0000850,New,True,0,0,True,Caller 2471,?,1/3/2016 16:55,?,?,Updated by 908,1/3/2016 16:55,Phone,Location 204,Category 40,Subcategory 44,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 175,4/3/2016 16:09,9/3/2016 17:00,0
INC0000852,New,True,0,0,True,Caller 4315,Opened by  221,1/3/2016 17:00,Created by 98,1/3/2016 17:09,Updated by 429,1/3/2016 17:09,Phone,Location 128,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 208,3/3/2016 15:55,8/3/2016 16:00,0
INC0000854,New,True,0,0,True,Caller 177,?,1/3/2016 17:02,Created by 89,1/3/2016 17:13,Updated by 370,1/3/2016 17:13,Phone,Location 15,Category 53,Subcategory 303,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 171,4/3/2016 14:44,9/3/2016 15:00,1
INC0000856,New,True,0,0,True,Caller 521,?,1/3/2016 17:04,Created by 18,1/3/2016 17:08,Updated by 77,1/3/2016 17:08,Phone,Location 93,Category 26,Subcategory 164,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 62,2/3/2016 10:05,7/3/2016 11:00,1
INC0000857,Active,True,0,0,True,Caller 1326,Opened by  381,1/3/2016 17:04,Created by 158,1/3/2016 17:12,Updated by 695,1/3/2016 17:12,Phone,Location 51,Category 45,Subcategory 88,Symptom 283,?,2 - Medium,2 - Medium,3 - Moderate,Group 31,Resolver 182,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 20,28/4/2016 11:44,3/5/2016 12:07,1
INC0000859,Active,True,0,0,True,Caller 4414,Opened by  433,1/3/2016 17:09,Created by 190,1/3/2016 17:10,Updated by 804,1/3/2016 17:10,Phone,Location 51,Category 45,Subcategory 29,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 134,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 120,2/3/2016 10:56,7/3/2016 11:00,0
INC0000860,New,True,0,0,True,Caller 4355,?,1/3/2016 17:13,Created by 18,1/3/2016 17:16,Updated by 77,1/3/2016 17:16,Phone,Location 108,Category 9,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,1/3/2016 17:28,6/3/2016 18:00,0
INC0000863,New,True,0,0,True,Caller 2697,Opened by  221,1/3/2016 17:16,Created by 98,1/3/2016 17:28,Updated by 429,1/3/2016 17:28,Phone,Location 93,Category 26,Subcategory 164,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 62,4/3/2016 10:27,9/3/2016 11:00,1
INC0000864,New,True,0,0,True,Caller 3535,?,1/3/2016 17:17,?,?,Updated by 908,1/3/2016 17:17,Phone,Location 113,Category 26,Subcategory 275,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,3/3/2016 10:14,8/3/2016 11:00,1
INC0000867,New,True,0,0,True,Caller 5348,Opened by  386,1/3/2016 17:25,Created by 167,1/3/2016 17:31,Updated by 723,1/3/2016 17:31,Phone,Location 93,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 62,2/3/2016 12:06,7/3/2016 13:00,0
INC0000868,New,True,0,0,True,Caller 1158,?,1/3/2016 17:26,Created by 18,1/3/2016 17:42,Updated by 77,1/3/2016 17:42,Phone,Location 204,Category 44,Subcategory 54,Symptom 142,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 22,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 20,2/3/2016 11:47,7/3/2016 12:00,1
INC0000872,Active,True,0,0,True,Caller 1129,Opened by  221,1/3/2016 17:36,Created by 98,1/3/2016 17:42,Updated by 429,1/3/2016 17:42,Phone,Location 93,Category 45,Subcategory 229,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 12,Resolver 22,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 20,2/3/2016 14:56,7/3/2016 15:00,1
INC0000873,New,True,0,0,True,Caller 1419,Opened by  386,1/3/2016 17:36,Created by 167,1/3/2016 17:42,Updated by 723,1/3/2016 17:42,Phone,Location 143,Category 19,Subcategory 4,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 71,3/3/2016 17:32,8/3/2016 18:00,0
INC0000875,Active,True,0,0,True,Caller 4313,?,1/3/2016 17:44,Created by 18,1/3/2016 17:50,Updated by 77,1/3/2016 17:50,Phone,Location 204,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 126,21/3/2016 11:11,26/3/2016 11:59,1
INC0000877,New,True,0,0,True,Caller 1841,Opened by  386,1/3/2016 17:49,Created by 167,1/3/2016 18:04,Updated by 723,1/3/2016 18:04,Phone,Location 33,Category 44,Subcategory 54,Symptom 589,?,1 - High,1 - High,1 - Critical,Group 5,Resolver 176,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 159,2/3/2016 09:55,7/3/2016 10:00,0
INC0000879,New,True,0,0,True,Caller 1824,Opened by  55,1/3/2016 17:51,Created by 30,1/3/2016 17:59,Updated by 129,1/3/2016 17:59,Phone,Location 51,Category 23,Subcategory 3,Symptom 7,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,3/3/2016 12:27,8/3/2016 13:00,1
INC0000880,New,True,0,0,True,Caller 1083,Opened by  221,1/3/2016 17:53,Created by 98,1/3/2016 18:11,Updated by 429,1/3/2016 18:11,Phone,Location 42,Category 45,Subcategory 229,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 12,Resolver 40,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 37,7/3/2016 17:06,24/3/2016 18:40,1
INC0000885,New,True,0,0,True,Caller 505,Opened by  305,1/3/2016 18:04,Created by 130,1/3/2016 18:06,Updated by 578,1/3/2016 18:06,Phone,Location 93,Category 40,Subcategory 215,Symptom 13,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 170,3/3/2016 18:04,8/3/2016 19:00,1
INC0000886,New,True,0,0,True,Caller 5014,Opened by  47,1/3/2016 18:04,Created by 25,1/3/2016 18:25,Updated by 111,1/3/2016 18:25,Phone,Location 143,Category 53,Subcategory 13,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 170,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,7/3/2016 08:59,24/3/2016 18:40,1
INC0000887,Active,True,0,0,True,Caller 3130,Opened by  305,1/3/2016 18:13,Created by 130,1/3/2016 18:31,Updated by 578,1/3/2016 18:31,Phone,Location 204,Category 55,Subcategory 185,Symptom 581,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,Resolver 166,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 152,9/3/2016 14:28,24/3/2016 18:40,0
INC0000888,New,True,0,0,True,Caller 193,Opened by  239,1/3/2016 18:13,Created by 107,1/3/2016 18:49,Updated by 467,1/3/2016 18:49,Phone,Location 161,Category 53,Subcategory 303,Symptom 4,cmdb_ci 23,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 22,7/3/2016 11:20,24/3/2016 18:40,0
INC0000890,Active,True,0,0,True,Caller 5471,Opened by  221,1/3/2016 18:33,?,?,Updated by 908,1/3/2016 18:33,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 126,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 103,1/3/2016 18:49,6/3/2016 19:00,0
INC0000892,New,True,0,0,True,Caller 4633,Opened by  47,1/3/2016 18:42,Created by 25,1/3/2016 18:51,Updated by 111,1/3/2016 18:51,Phone,Location 161,Category 22,Subcategory 40,Symptom 315,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 81,8/3/2016 13:40,24/3/2016 18:40,1
INC0000894,New,True,0,0,True,Caller 5014,Opened by  305,1/3/2016 18:45,Created by 130,1/3/2016 19:03,Updated by 578,1/3/2016 19:03,Phone,Location 108,Category 24,Subcategory 164,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,7/3/2016 09:00,24/3/2016 18:40,1
INC0000895,New,True,0,0,True,Caller 3835,Opened by  47,1/3/2016 19:02,Created by 25,1/3/2016 19:06,Updated by 111,1/3/2016 19:06,Phone,Location 97,Category 44,Subcategory 54,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,?,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 195,7/3/2016 14:59,24/3/2016 18:40,1
INC0000896,New,True,0,0,True,Caller 5587,Opened by  305,1/3/2016 19:04,Created by 130,1/3/2016 19:13,Updated by 578,1/3/2016 19:13,Phone,Location 158,Category 53,Subcategory 117,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 153,2/3/2016 11:06,7/3/2016 12:00,0
INC0000897,New,True,0,0,True,Caller 150,Opened by  239,1/3/2016 19:06,Created by 107,1/3/2016 19:10,Updated by 467,1/3/2016 19:10,Phone,Location 55,Category 53,Subcategory 169,Symptom 560,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,22/3/2016 09:40,27/3/2016 09:59,1
INC0000899,New,True,0,0,True,Caller 4667,Opened by  47,1/3/2016 19:09,Created by 25,1/3/2016 19:20,Updated by 111,1/3/2016 19:20,Phone,Location 143,Category 53,Subcategory 303,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,22/3/2016 08:29,27/3/2016 08:59,1
INC0000900,New,True,0,0,True,Caller 2868,Opened by  239,1/3/2016 19:12,Created by 107,1/3/2016 19:16,Updated by 467,1/3/2016 19:16,Phone,Location 204,Category 53,Subcategory 303,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 58,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,7/3/2016 15:20,23/5/2016 11:07,1
INC0000901,New,True,0,0,True,Caller 254,Opened by  305,1/3/2016 19:14,?,?,Updated by 908,1/3/2016 19:14,Phone,Location 15,Category 53,Subcategory 78,Symptom 8,?,2 - Medium,2 - Medium,3 - Moderate,Group 76,?,True,False,Do Not Notify,?,?,?,?,code 10,Resolved by 103,3/3/2016 16:30,8/3/2016 17:00,1
INC0000903,New,True,0,0,True,Caller 417,Opened by  239,1/3/2016 19:20,?,?,Updated by 908,1/3/2016 19:20,Phone,Location 143,Category 53,Subcategory 303,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 133,17/3/2016 12:46,24/3/2016 18:59,1
INC0000905,New,True,0,0,True,Caller 2737,Opened by  47,1/3/2016 19:25,Created by 25,1/3/2016 19:42,Updated by 111,1/3/2016 19:42,Phone,Location 51,Category 53,Subcategory 303,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,9/3/2016 09:48,24/3/2016 18:40,0
INC0000906,New,True,0,0,True,Caller 1783,Opened by  239,1/3/2016 19:25,?,?,Updated by 908,1/3/2016 19:25,Phone,Location 135,Category 42,Subcategory 224,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 32,4/3/2016 15:35,9/3/2016 16:00,0
INC0000907,New,True,0,0,True,Caller 2562,Opened by  239,1/3/2016 19:29,?,?,Updated by 908,1/3/2016 19:29,Phone,Location 161,Category 42,Subcategory 224,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 52,8/3/2016 14:16,24/3/2016 18:40,0
INC0000908,New,True,0,0,True,Caller 5369,Opened by  239,1/3/2016 19:31,Created by 107,1/3/2016 19:35,Updated by 467,1/3/2016 19:35,Phone,Location 124,Category 53,Subcategory 303,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 171,4/3/2016 15:56,9/3/2016 16:00,1
INC0000910,New,True,0,0,True,Caller 2737,Opened by  47,1/3/2016 19:43,Created by 25,1/3/2016 19:48,Updated by 111,1/3/2016 19:48,Phone,Location 51,Category 23,Subcategory 3,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,9/3/2016 10:22,24/3/2016 18:40,1
INC0000911,New,True,0,0,True,Caller 5093,Opened by  47,1/3/2016 19:48,Created by 25,1/3/2016 19:49,Updated by 111,1/3/2016 19:49,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 115,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 103,16/3/2016 18:00,24/3/2016 18:59,0
INC0000912,New,True,0,0,True,Caller 2697,Opened by  47,1/3/2016 19:53,Created by 25,1/3/2016 19:58,Updated by 111,1/3/2016 19:58,Phone,Location 93,Category 53,Subcategory 168,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 69,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 62,4/3/2016 10:26,9/3/2016 11:00,1
INC0000913,New,True,0,0,True,Caller 3563,Opened by  305,1/3/2016 19:57,?,?,Updated by 908,1/3/2016 19:57,Phone,Location 204,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,8/3/2016 17:00,24/3/2016 18:40,1
INC0000914,New,True,0,0,True,Caller 2760,Opened by  47,1/3/2016 19:59,Created by 25,1/3/2016 20:17,Updated by 111,1/3/2016 20:17,Phone,Location 204,Category 53,Subcategory 117,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 113,8/3/2016 13:34,24/3/2016 18:40,1
INC0000915,New,True,0,0,True,Caller 3563,Opened by  305,1/3/2016 20:04,Created by 130,1/3/2016 20:07,Updated by 578,1/3/2016 20:07,Phone,Location 204,Category 32,Subcategory 9,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 166,8/3/2016 11:54,24/3/2016 18:40,1
INC0000916,New,True,0,0,True,Caller 2346,Opened by  305,1/3/2016 20:07,Created by 130,1/3/2016 20:10,Updated by 578,1/3/2016 20:10,Phone,Location 161,Category 53,Subcategory 117,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 22,2/3/2016 09:00,7/3/2016 10:00,0
INC0000917,New,True,0,0,True,Caller 5471,Opened by  305,1/3/2016 20:10,Created by 130,1/3/2016 20:29,Updated by 578,1/3/2016 20:29,Phone,Location 143,Category 53,Subcategory 80,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 71,4/3/2016 09:08,9/3/2016 10:00,1
INC0000918,New,True,0,0,True,Caller 1620,Opened by  47,1/3/2016 20:18,Created by 25,1/3/2016 20:25,Updated by 111,1/3/2016 20:25,Phone,Location 37,Category 42,Subcategory 224,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 127,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 115,2/3/2016 16:41,7/3/2016 17:00,1
INC0000919,New,True,0,0,True,Caller 4431,Opened by  47,1/3/2016 20:26,Created by 25,1/3/2016 20:34,Updated by 111,1/3/2016 20:34,Phone,Location 51,Category 19,Subcategory 289,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 58,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,2/3/2016 12:19,7/3/2016 13:00,1
INC0000920,New,True,0,0,True,Caller 2353,Opened by  305,1/3/2016 20:35,Created by 130,1/3/2016 20:51,Updated by 578,1/3/2016 20:51,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 166,9/3/2016 15:41,24/3/2016 18:40,1
INC0000921,New,True,0,0,True,Caller 3512,Opened by  47,1/3/2016 20:35,Created by 25,1/3/2016 20:42,Updated by 111,1/3/2016 20:42,Phone,Location 204,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 149,1/3/2016 21:00,6/3/2016 22:00,0
INC0000923,New,True,0,0,True,Caller 1128,Opened by  305,1/3/2016 20:54,Created by 130,1/3/2016 20:58,Updated by 578,1/3/2016 20:58,Phone,Location 51,Category 9,Subcategory 164,Symptom 432,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,2/3/2016 12:10,7/3/2016 13:00,0
INC0000924,New,True,0,0,True,Caller 3040,Opened by  47,1/3/2016 20:57,Created by 25,1/3/2016 20:58,Updated by 111,1/3/2016 20:58,Phone,Location 51,Category 19,Subcategory 289,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,2/3/2016 12:10,7/3/2016 13:00,0
INC0000925,New,True,0,0,True,Caller 3031,Opened by  47,1/3/2016 20:59,Created by 25,1/3/2016 21:01,Updated by 111,1/3/2016 21:01,Phone,Location 51,Category 19,Subcategory 289,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,2/3/2016 12:12,7/3/2016 13:00,0
INC0000926,New,True,0,0,True,Caller 4217,Opened by  305,1/3/2016 21:00,?,?,Updated by 908,1/3/2016 21:00,Phone,Location 179,Category 61,Subcategory 283,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 180,3/3/2016 08:13,8/3/2016 09:00,0
INC0000927,New,True,0,0,True,Caller 2988,Opened by  47,1/3/2016 21:04,Created by 25,1/3/2016 21:11,Updated by 111,1/3/2016 21:11,Phone,Location 161,Category 45,Subcategory 223,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 24,1/3/2016 21:53,6/3/2016 22:00,0
INC0000928,New,True,0,0,True,Caller 1408,Opened by  305,1/3/2016 21:06,Created by 130,1/3/2016 21:07,Updated by 578,1/3/2016 21:07,Phone,Location 51,Category 9,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 183,2/3/2016 12:12,7/3/2016 13:00,0
INC0000930,New,True,0,0,True,Caller 4217,Opened by  305,1/3/2016 21:13,?,?,Updated by 908,1/3/2016 21:13,Phone,Location 179,Category 32,Subcategory 9,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,1/3/2016 22:06,6/3/2016 23:00,0
