opened_by,contact_type,location,category,subcategory,u_symptom,assignment_group,reassignment_required,opened_at_dt,opened_hour,opened_day_of_week,opened_month,opened_is_weekend,impact_encoded,urgency_encoded,priority_encoded
Opened by  468,Phone,Location 51,Category 44,Subcategory 54,,Group 12,0,2016-03-02 11:37:00,11,2,3,0,2,2,2
Opened by  301,Phone,Location 161,Category 53,Subcategory 303,,Group 70,1,2016-03-02 11:39:00,11,2,3,0,2,2,2
Opened by  131,Phone,Location 204,Category 61,Subcategory 16,Symptom 4,Group 70,1,2016-03-02 11:40:00,11,2,3,0,1,1,1
,Phone,Location 108,Category 26,Subcategory 175,Symptom 4,Group 70,1,2016-03-02 11:40:00,11,2,3,0,2,2,2
Opened by  180,Phone,Location 93,Category 45,Subcategory 200,Symptom 217,Group 55,1,2016-03-02 11:41:00,11,2,3,0,3,2,3
Opened by  142,Phone,Location 204,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 11:42:00,11,2,3,0,2,2,2
Opened by  468,Phone,Location 51,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 11:43:00,11,2,3,0,2,2,2
,Phone,Location 204,Category 37,Subcategory 123,Symptom 118,Group 46,0,2016-03-02 11:45:00,11,2,3,0,2,2,2
Opened by  301,Phone,Location 204,Category 51,Subcategory 301,,Group 65,0,2016-03-02 11:46:00,11,2,3,0,2,2,2
Opened by  40,Phone,Location 108,Category 26,Subcategory 175,,Group 70,1,2016-03-02 11:47:00,11,2,3,0,2,2,2
Opened by  62,Phone,Location 108,Category 45,Subcategory 223,,Group 39,0,2016-03-02 11:47:00,11,2,3,0,2,2,2
,Phone,Location 204,Category 42,Subcategory 106,Symptom 4,Group 70,0,2016-03-02 11:47:00,11,2,3,0,2,2,2
Opened by  131,Phone,Location 51,Category 61,Subcategory 164,Symptom 4,Group 70,1,2016-03-02 11:48:00,11,2,3,0,2,2,2
Opened by  142,Phone,Location 161,Category 45,Subcategory 191,Symptom 486,Group 58,0,2016-03-02 11:48:00,11,2,3,0,2,2,2
Opened by  468,Phone,Location 226,Category 45,Subcategory 229,,Group 21,1,2016-03-02 11:50:00,11,2,3,0,2,2,2
,Phone,Location 108,Category 55,Subcategory 101,,Group 27,0,2016-03-02 11:51:00,11,2,3,0,2,3,3
Opened by  40,Phone,Location 136,Category 42,Subcategory 224,,Group 20,1,2016-03-02 11:53:00,11,2,3,0,2,2,2
Opened by  301,Phone,Location 161,Category 51,Subcategory 301,,Group 24,0,2016-03-02 11:54:00,11,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 170,Group 6,0,2016-03-02 11:54:00,11,2,3,0,2,2,2
Opened by  316,Phone,Location 240,Category 24,Subcategory 164,,Group 28,0,2016-03-02 11:56:00,11,2,3,0,1,1,1
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 144,Group 6,0,2016-03-02 11:58:00,11,2,3,0,2,2,2
Opened by  131,Phone,Location 204,Category 53,Subcategory 219,Symptom 6,Group 70,0,2016-03-02 11:59:00,11,2,3,0,2,2,2
Opened by  468,Phone,Location 51,Category 45,Subcategory 229,Symptom 157,Group 6,0,2016-03-02 12:01:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 51,Category 45,Subcategory 229,Symptom 208,Group 57,0,2016-03-02 12:05:00,12,2,3,0,2,2,2
Opened by  131,Phone,Location 204,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 12:07:00,12,2,3,0,2,2,2
Opened by  386,Phone,Location 36,Category 42,Subcategory 31,,Group 70,0,2016-03-02 12:08:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 46,Category 45,Subcategory 229,,Group 6,0,2016-03-02 12:08:00,12,2,3,0,2,2,2
,Phone,Location 204,Category 26,Subcategory 175,Symptom 208,Group 70,0,2016-03-02 12:09:00,12,2,3,0,2,3,3
Opened by  468,Phone,Location 111,Category 45,Subcategory 229,Symptom 135,Group 6,0,2016-03-02 12:13:00,12,2,3,0,2,2,2
Opened by  55,Phone,Location 204,Category 35,Subcategory 28,Symptom 4,Group 70,1,2016-03-02 12:15:00,12,2,3,0,2,2,2
,Phone,Location 204,Category 42,Subcategory 31,,Group 66,0,2016-03-02 12:15:00,12,2,3,0,2,2,2
Opened by  131,Phone,Location 93,Category 53,Subcategory 50,Symptom 6,Group 70,0,2016-03-02 12:17:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 44,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 12:19:00,12,2,3,0,2,2,2
Opened by  386,Phone,Location 204,Category 37,Subcategory 135,,Group 46,1,2016-03-02 12:21:00,12,2,3,0,2,2,2
,Phone,Location 93,Category 34,Subcategory 154,Symptom 134,Group 23,1,2016-03-02 12:21:00,12,2,3,0,2,2,2
,Phone,Location 204,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 12:23:00,12,2,3,0,2,2,2
Opened by  62,Phone,Location 161,Category 42,Subcategory 224,,Group 3,1,2016-03-02 12:23:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 51,Category 44,Subcategory 54,Symptom 135,Group 5,0,2016-03-02 12:24:00,12,2,3,0,2,2,2
Opened by  40,Phone,Location 93,Category 45,Subcategory 223,,Group 70,1,2016-03-02 12:25:00,12,2,3,0,2,2,2
Opened by  501,Phone,Location 204,Category 45,Subcategory 200,,Group 67,1,2016-03-02 12:27:00,12,2,3,0,1,1,1
Opened by  131,Phone,Location 93,Category 45,Subcategory 29,Symptom 4,Group 70,1,2016-03-02 12:28:00,12,2,3,0,2,2,2
,Phone,Location 111,Category 42,Subcategory 31,Symptom 4,Group 70,0,2016-03-02 12:28:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 135,Category 45,Subcategory 229,Symptom 494,Group 6,1,2016-03-02 12:28:00,12,2,3,0,2,2,2
Opened by  24,Phone,Location 108,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 12:31:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 405,Group 6,0,2016-03-02 12:33:00,12,2,3,0,2,2,2
,Phone,Location 197,Category 13,Subcategory 302,Symptom 8,Group 70,1,2016-03-02 12:33:00,12,2,3,0,2,2,2
Opened by  301,Phone,Location 204,Category 53,Subcategory 303,,Group 70,1,2016-03-02 12:37:00,12,2,3,0,2,2,2
Opened by  55,Phone,Location 93,Category 23,Subcategory 3,Symptom 4,Group 70,0,2016-03-02 12:37:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 135,Group 6,0,2016-03-02 12:38:00,12,2,3,0,2,2,2
Opened by  131,Phone,Location 204,Category 61,Subcategory 164,Symptom 8,Group 70,1,2016-03-02 12:40:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 12:42:00,12,2,3,0,2,2,2
,Phone,Location 93,Category 26,Subcategory 175,Symptom 4,Group 70,1,2016-03-02 12:45:00,12,2,3,0,2,3,3
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 12:47:00,12,2,3,0,2,2,2
Opened by  301,Phone,Location 204,Category 9,Subcategory 164,,Group 25,1,2016-03-02 12:52:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 43,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 12:53:00,12,2,3,0,2,2,2
Opened by  40,Phone,Location 37,Category 20,Subcategory 103,Symptom 387,Group 70,1,2016-03-02 12:55:00,12,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 229,Symptom 208,Group 22,0,2016-03-02 12:58:00,12,2,3,0,2,2,2
Opened by  24,Phone,Location 51,Category 42,Subcategory 31,Symptom 4,Group 70,1,2016-03-02 12:59:00,12,2,3,0,2,2,2
,Phone,Location 161,Category 53,Subcategory 117,,Group 24,0,2016-03-02 13:00:00,13,2,3,0,2,2,2
Opened by  433,Phone,Location 51,Category 45,Subcategory 29,,Group 55,0,2016-03-02 13:03:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 161,Category 9,Subcategory 110,,Group 24,0,2016-03-02 13:04:00,13,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 229,Symptom 208,Group 6,0,2016-03-02 13:05:00,13,2,3,0,2,2,2
Opened by  301,Phone,Location 161,Category 20,Subcategory 125,,Group 70,0,2016-03-02 13:05:00,13,2,3,0,2,2,2
,Phone,Location 204,Category 26,Subcategory 275,Symptom 387,Group 70,0,2016-03-02 13:06:00,13,2,3,0,2,2,2
,Phone,Location 161,Category 45,Subcategory 223,Symptom 4,Group 70,0,2016-03-02 13:07:00,13,2,3,0,2,2,2
Opened by  55,Phone,Location 143,Category 26,Subcategory 175,Symptom 4,Group 70,0,2016-03-02 13:12:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 161,Category 53,Subcategory 117,Symptom 387,Group 24,0,2016-03-02 13:14:00,13,2,3,0,2,2,2
Opened by  221,Phone,Location 143,Category 53,Subcategory 168,Symptom 208,Group 70,1,2016-03-02 13:18:00,13,2,3,0,2,2,2
Opened by  301,Phone,Location 54,Category 53,Subcategory 20,Symptom 387,Group 29,0,2016-03-02 13:21:00,13,2,3,0,2,2,2
Opened by  40,Phone,Location 55,Category 26,Subcategory 164,,Group 70,1,2016-03-02 13:24:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 204,Category 26,Subcategory 175,Symptom 119,Group 70,1,2016-03-02 13:26:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 128,Category 24,Subcategory 30,,Group 27,1,2016-03-02 13:36:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:36:00,13,2,3,0,2,2,2
Opened by  301,Phone,Location 51,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 13:38:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:38:00,13,2,3,0,2,2,2
Opened by  501,Phone,Location 143,Category 24,Subcategory 164,Symptom 8,Group 28,0,2016-03-02 13:38:00,13,2,3,0,1,1,1
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:39:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 51,Category 45,Subcategory 150,,Group 10,1,2016-03-02 13:40:00,13,2,3,0,2,2,2
Opened by  188,Phone,Location 76,Category 42,Subcategory 31,Symptom 486,Group 3,0,2016-03-02 13:41:00,13,2,3,0,3,3,4
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:41:00,13,2,3,0,2,2,2
Opened by  501,Phone,Location 161,Category 9,Subcategory 164,,Group 24,0,2016-03-02 13:44:00,13,2,3,0,1,1,1
Opened by  301,Phone,Location 204,Category 32,Subcategory 9,,Group 70,1,2016-03-02 13:50:00,13,2,3,0,2,2,2
Opened by  62,Phone,Location 55,Category 17,Subcategory 90,Symptom 6,Group 69,1,2016-03-02 13:50:00,13,2,3,0,2,2,2
Opened by  501,Phone,Location 93,Category 45,Subcategory 200,Symptom 141,Group 67,1,2016-03-02 13:51:00,13,2,3,0,1,1,1
Opened by  502,Phone,Location 245,Category 45,Subcategory 229,Symptom 589,Group 21,0,2016-03-02 13:51:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 99,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:51:00,13,2,3,0,2,2,2
Opened by  221,Phone,Location 161,Category 42,Subcategory 106,Symptom 4,Group 70,0,2016-03-02 13:52:00,13,2,3,0,2,2,2
Opened by  185,Phone,,,,,,1,2016-03-02 13:52:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:53:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 213,Category 53,Subcategory 117,Symptom 387,Group 24,0,2016-03-02 13:53:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 93,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:54:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 93,Category 45,Subcategory 150,,Group 10,1,2016-03-02 13:56:00,13,2,3,0,2,2,2
Opened by  267,Phone,Location 93,Category 45,Subcategory 150,,Group 10,0,2016-03-02 13:59:00,13,2,3,0,2,2,2
Opened by  386,Phone,Location 143,Category 26,Subcategory 175,,Group 70,1,2016-03-02 14:00:00,14,2,3,0,2,2,2
Opened by  40,Phone,Location 93,Category 53,Subcategory 271,,Group 70,1,2016-03-02 14:00:00,14,2,3,0,2,2,2
Opened by  267,Phone,Location 108,Category 45,Subcategory 150,,Group 10,0,2016-03-02 14:00:00,14,2,3,0,2,2,2
Opened by  247,Phone,Location 91,Category 19,Subcategory 289,Symptom 607,Group 24,0,2016-03-02 14:01:00,14,2,3,0,2,2,2
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 14:01:00,14,2,3,0,2,2,2
Opened by  301,Phone,Location 161,Category 20,Subcategory 125,Symptom 6,Group 70,0,2016-03-02 14:01:00,14,2,3,0,2,2,2
Opened by  221,Phone,Location 143,Category 53,Subcategory 303,Symptom 4,Group 70,1,2016-03-02 14:02:00,14,2,3,0,2,2,2
Opened by  267,Phone,Location 108,Category 45,Subcategory 150,,Group 10,1,2016-03-02 14:04:00,14,2,3,0,2,2,2
Opened by  174,Phone,Location 108,Category 24,Subcategory 164,,Group 27,0,2016-03-02 14:05:00,14,2,3,0,1,1,1
Opened by  55,Phone,Location 108,Category 24,Subcategory 228,Symptom 607,Group 27,0,2016-03-02 14:05:00,14,2,3,0,2,2,2
Opened by  267,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 14:06:00,14,2,3,0,2,2,2
Opened by  325,Phone,Location 143,Category 55,Subcategory 305,Symptom 208,Group 33,0,2016-03-02 14:06:00,14,2,3,0,1,1,1
Opened by  174,Phone,Location 108,Category 22,Subcategory 277,,Group 27,0,2016-03-02 14:07:00,14,2,3,0,1,2,1
Opened by  301,Phone,Location 229,Category 32,Subcategory 9,Symptom 6,Group 70,0,2016-03-02 14:07:00,14,2,3,0,2,2,2
,Phone,Location 136,Category 45,Subcategory 229,Symptom 520,Group 33,0,2016-03-02 14:09:00,14,2,3,0,2,2,2
Opened by  55,Phone,Location 108,Category 24,Subcategory 164,Symptom 311,Group 27,1,2016-03-02 14:12:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 291,Group 67,1,2016-03-02 14:13:00,14,2,3,0,2,2,2
Opened by  301,Phone,Location 204,Category 53,Subcategory 303,Symptom 387,Group 70,1,2016-03-02 14:14:00,14,2,3,0,2,2,2
Opened by  386,Phone,Location 179,Category 53,Subcategory 303,,Group 70,1,2016-03-02 14:20:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 118,Category 45,Subcategory 191,Symptom 406,Group 58,0,2016-03-02 14:22:00,14,2,3,0,2,2,2
Opened by  240,Phone,Location 161,Category 26,Subcategory 175,Symptom 232,Group 70,1,2016-03-02 14:23:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 291,Group 67,0,2016-03-02 14:25:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 111,Category 45,Subcategory 191,Symptom 406,Group 58,0,2016-03-02 14:26:00,14,2,3,0,2,2,2
Opened by  142,Phone,Location 204,Category 45,Subcategory 191,Symptom 486,Group 58,0,2016-03-02 14:26:00,14,2,3,0,2,2,2
Opened by  301,Phone,Location 161,Category 42,Subcategory 31,Symptom 4,Group 55,1,2016-03-02 14:27:00,14,2,3,0,2,2,2
Opened by  221,Phone,Location 143,Category 53,Subcategory 303,Symptom 4,Group 70,0,2016-03-02 14:28:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 118,Category 45,Subcategory 191,Symptom 406,Group 58,0,2016-03-02 14:29:00,14,2,3,0,2,2,2
Opened by  55,Phone,Location 179,Category 61,Subcategory 164,Symptom 6,Group 73,0,2016-03-02 14:29:00,14,2,3,0,2,2,2
Opened by  142,Phone,Location 204,Category 45,Subcategory 191,Symptom 516,Group 58,0,2016-03-02 14:30:00,14,2,3,0,2,2,2
,Phone,Location 96,Category 45,Subcategory 88,Symptom 351,Group 31,1,2016-03-02 14:32:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 118,Category 45,Subcategory 191,Symptom 406,Group 58,0,2016-03-02 14:32:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 291,Group 67,0,2016-03-02 14:32:00,14,2,3,0,2,2,2
Opened by  386,Phone,Location 55,Category 42,Subcategory 31,,Group 37,0,2016-03-02 14:34:00,14,2,3,0,2,2,2
Opened by  142,Phone,Location 108,Category 45,Subcategory 191,Symptom 135,Group 58,0,2016-03-02 14:34:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 161,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 14:34:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 161,Category 45,Subcategory 191,Symptom 487,Group 58,0,2016-03-02 14:37:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 291,Group 67,1,2016-03-02 14:37:00,14,2,3,0,2,2,2
Opened by  142,Phone,Location 204,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 14:39:00,14,2,3,0,2,2,2
Opened by  468,Phone,Location 143,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 14:39:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 161,Category 45,Subcategory 88,Symptom 499,Group 31,0,2016-03-02 14:41:00,14,2,3,0,2,2,2
Opened by  301,Phone,Location 143,Category 32,Subcategory 9,Symptom 4,Group 39,0,2016-03-02 14:42:00,14,2,3,0,2,2,2
Opened by  386,Phone,Location 108,Category 23,Subcategory 75,,Group 54,1,2016-03-02 14:44:00,14,2,3,0,2,2,2
Opened by  441,Phone,Location 204,Category 45,Subcategory 115,Symptom 337,Group 31,0,2016-03-02 14:45:00,14,2,3,0,2,2,2
Opened by  62,Phone,Location 161,Category 53,Subcategory 83,Symptom 387,Group 70,0,2016-03-02 14:45:00,14,2,3,0,2,2,2
Opened by  55,Phone,Location 40,Category 44,Subcategory 54,,Group 70,0,2016-03-02 14:53:00,14,2,3,0,2,2,2
Opened by  62,Phone,Location 204,Category 45,Subcategory 200,Symptom 220,Group 66,0,2016-03-02 14:54:00,14,2,3,0,2,2,2
Opened by  386,Phone,Location 41,Category 32,Subcategory 9,,Group 70,0,2016-03-02 14:56:00,14,2,3,0,2,2,2
Opened by  381,Phone,Location 82,Category 45,Subcategory 88,Symptom 502,Group 31,1,2016-03-02 14:56:00,14,2,3,0,2,2,2
Opened by  240,Phone,Location 51,Category 53,Subcategory 168,Symptom 74,Group 70,1,2016-03-02 14:57:00,14,2,3,0,2,2,2
Opened by  221,Phone,Location 143,Category 26,Subcategory 175,Symptom 4,Group 70,0,2016-03-02 14:58:00,14,2,3,0,2,2,2
Opened by  221,Phone,Location 143,Category 53,Subcategory 153,Symptom 4,Group 56,1,2016-03-02 15:01:00,15,2,3,0,2,2,2
,Phone,Location 204,Category 53,Subcategory 117,Symptom 387,Group 70,1,2016-03-02 15:01:00,15,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 191,Symptom 487,Group 58,0,2016-03-02 15:01:00,15,2,3,0,2,2,2
Opened by  325,Phone,Location 143,Category 55,Subcategory 270,Symptom 208,Group 33,0,2016-03-02 15:03:00,15,2,3,0,1,1,1
Opened by  468,Phone,Location 204,Category 45,Subcategory 191,,Group 58,0,2016-03-02 15:04:00,15,2,3,0,2,2,2
,Phone,Location 111,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 15:05:00,15,2,3,0,2,2,2
Opened by  381,Phone,Location 204,Category 45,Subcategory 88,Symptom 502,Group 31,1,2016-03-02 15:07:00,15,2,3,0,2,2,2
Opened by  386,Phone,Location 161,Category 32,Subcategory 9,,Group 70,1,2016-03-02 15:08:00,15,2,3,0,2,2,2
Opened by  441,Phone,Location 204,Category 45,Subcategory 207,Symptom 337,Group 31,1,2016-03-02 15:08:00,15,2,3,0,2,2,2
Opened by  468,Phone,Location 108,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 15:09:00,15,2,3,0,2,2,2
Opened by  240,Phone,Location 33,Category 45,Subcategory 29,Symptom 509,Group 55,1,2016-03-02 15:10:00,15,2,3,0,2,2,2
Opened by  221,Phone,Location 204,Category 26,Subcategory 175,Symptom 4,Group 70,0,2016-03-02 15:11:00,15,2,3,0,2,2,2
,Phone,Location 161,Category 42,Subcategory 31,Symptom 249,Group 10,1,2016-03-02 15:11:00,15,2,3,0,2,2,2
Opened by  468,Phone,Location 143,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 15:11:00,15,2,3,0,2,2,2
Opened by  386,Phone,Location 35,Category 37,Subcategory 135,Symptom 257,Group 54,0,2016-03-02 15:13:00,15,2,3,0,3,3,4
Opened by  468,Phone,Location 204,Category 45,Subcategory 191,Symptom 487,Group 58,0,2016-03-02 15:14:00,15,2,3,0,2,2,2
Opened by  168,Phone,Location 161,Category 55,Subcategory 166,Symptom 607,Group 24,0,2016-03-02 15:14:00,15,2,3,0,1,1,1
Opened by  468,Phone,Location 143,Category 45,Subcategory 191,,Group 58,1,2016-03-02 15:16:00,15,2,3,0,2,2,2
Opened by  240,Phone,Location 51,Category 37,Subcategory 135,Symptom 511,Group 45,0,2016-03-02 15:18:00,15,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 191,Symptom 208,Group 58,0,2016-03-02 15:19:00,15,2,3,0,2,2,2
Opened by  55,Phone,Location 204,Category 23,Subcategory 3,,Group 70,0,2016-03-02 15:19:00,15,2,3,0,2,2,2
,Phone,Location 47,Category 37,Subcategory 135,Symptom 509,Group 70,0,2016-03-02 15:21:00,15,2,3,0,3,3,4
Opened by  325,Phone,Location 143,Category 55,Subcategory 305,Symptom 199,Group 33,1,2016-03-02 15:21:00,15,2,3,0,1,1,1
Opened by  62,Phone,Location 161,Category 45,Subcategory 200,Symptom 4,Group 39,1,2016-03-02 15:25:00,15,2,3,0,2,2,2
Opened by  240,Phone,Location 108,Category 19,Subcategory 289,,Group 27,0,2016-03-02 15:27:00,15,2,3,0,2,2,2
,Phone,Location 51,Category 23,Subcategory 3,Symptom 208,Group 23,0,2016-03-02 15:28:00,15,2,3,0,3,3,4
Opened by  441,Phone,Location 204,Category 45,Subcategory 47,Symptom 486,Group 31,0,2016-03-02 15:29:00,15,2,3,0,2,2,2
Opened by  419,Phone,Location 93,Category 26,Subcategory 175,,Group 20,0,2016-03-02 15:29:00,15,2,3,0,1,1,1
Opened by  62,Phone,Location 108,Category 53,Subcategory 83,Symptom 387,Group 27,0,2016-03-02 15:31:00,15,2,3,0,2,2,2
Opened by  386,Phone,Location 93,Category 42,Subcategory 31,,Group 70,0,2016-03-02 15:32:00,15,2,3,0,2,2,2
Opened by  188,Phone,Location 93,Category 42,Subcategory 31,Symptom 580,Group 3,0,2016-03-02 15:32:00,15,2,3,0,1,1,1
Opened by  221,Phone,Location 55,Category 37,Subcategory 189,Symptom 208,Group 70,1,2016-03-02 15:33:00,15,2,3,0,2,2,2
Opened by  55,Phone,Location 51,Category 20,Subcategory 103,,Group 30,0,2016-03-02 15:35:00,15,2,3,0,2,2,2
Opened by  301,Phone,Location 71,Category 37,Subcategory 135,,Group 45,0,2016-03-02 15:37:00,15,2,3,0,2,2,2
Opened by  240,Phone,Location 204,Category 26,Subcategory 175,Symptom 232,Group 54,1,2016-03-02 15:40:00,15,2,3,0,2,2,2
Opened by  55,Phone,Location 55,Category 37,Subcategory 135,,Group 45,1,2016-03-02 15:45:00,15,2,3,0,3,3,4
,Phone,Location 43,Category 53,Subcategory 168,Symptom 116,Group 70,1,2016-03-02 15:45:00,15,2,3,0,2,3,3
Opened by  221,Phone,Location 51,Category 51,Subcategory 182,Symptom 208,Group 70,1,2016-03-02 15:46:00,15,2,3,0,3,3,4
Opened by  62,Phone,Location 51,Category 24,Subcategory 164,Symptom 571,Group 30,0,2016-03-02 15:47:00,15,2,3,0,2,2,2
,Phone,Location 204,Category 32,Subcategory 9,Symptom 439,Group 70,1,2016-03-02 15:51:00,15,2,3,0,2,2,2
Opened by  62,Phone,Location 42,Category 44,Subcategory 54,Symptom 107,Group 39,1,2016-03-02 15:52:00,15,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 150,Symptom 208,Group 10,0,2016-03-02 15:56:00,15,2,3,0,2,2,2
Opened by  221,Phone,Location 204,Category 26,Subcategory 275,Symptom 4,Group 25,0,2016-03-02 15:59:00,15,2,3,0,2,2,2
,Phone,Location 161,Category 40,Subcategory 44,,Group 70,1,2016-03-02 15:59:00,15,2,3,0,2,2,2
Opened by  386,Phone,Location 55,Category 42,Subcategory 31,,Group 55,0,2016-03-02 16:00:00,16,2,3,0,2,2,2
Opened by  221,Phone,Location 204,Category 26,Subcategory 275,Symptom 4,Group 25,0,2016-03-02 16:00:00,16,2,3,0,2,2,2
Opened by  185,Phone,,,,,,1,2016-03-02 16:02:00,16,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 16:03:00,16,2,3,0,2,2,2
Opened by  62,Phone,Location 108,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-03-02 16:03:00,16,2,3,0,2,2,2
Opened by  468,Phone,Location 204,Category 45,Subcategory 150,,Group 10,0,2016-03-02 16:08:00,16,2,3,0,2,2,2
,Phone,Location 128,Category 42,Subcategory 31,Symptom 6,Group 39,1,2016-03-02 16:10:00,16,2,3,0,2,2,2
,Phone,Location 143,Category 26,Subcategory 275,Symptom 4,Group 70,1,2016-03-02 16:10:00,16,2,3,0,2,2,2
Opened by  468,Phone,Location 93,Category 45,Subcategory 150,,Group 10,0,2016-03-02 16:11:00,16,2,3,0,2,2,2
Opened by  55,Phone,Location 204,Category 26,Subcategory 175,,Group 20,1,2016-03-02 16:14:00,16,2,3,0,2,2,2
Opened by  62,Phone,Location 143,Category 23,Subcategory 75,Symptom 4,Group 70,1,2016-03-02 16:14:00,16,2,3,0,2,2,2
Opened by  62,Phone,Location 143,Category 26,Subcategory 175,Symptom 222,Group 28,1,2016-03-02 16:14:00,16,2,3,0,2,2,2
,Phone,Location 161,Category 9,Subcategory 164,Symptom 572,Group 24,0,2016-03-02 16:15:00,16,2,3,0,2,2,2
,Phone,Location 93,Category 32,Subcategory 9,,Group 70,0,2016-03-02 16:16:00,16,2,3,0,2,2,2
,Phone,Location 51,Category 55,Subcategory 67,,Group 70,1,2016-03-02 16:20:00,16,2,3,0,2,2,2
,Phone,Location 204,Category 53,Subcategory 117,Symptom 387,Group 25,1,2016-03-02 16:22:00,16,2,3,0,2,2,2
Opened by  62,Phone,Location 93,Category 42,Subcategory 31,,Group 3,1,2016-03-02 16:24:00,16,2,3,0,2,2,2
Opened by  468,Phone,Location 143,Category 45,Subcategory 150,,Group 10,0,2016-03-02 16:26:00,16,2,3,0,2,2,2
,Phone,Location 204,Category 35,Subcategory 48,,Group 70,1,2016-03-02 16:27:00,16,2,3,0,2,2,2
Opened by  168,Phone,Location 161,Category 9,Subcategory 164,Symptom 529,Group 24,0,2016-03-02 16:27:00,16,2,3,0,1,1,1
,Phone,Location 204,Category 26,Subcategory 275,Symptom 4,Group 70,1,2016-03-02 16:30:00,16,2,3,0,2,2,2
